zone_id,su,lat,lon,p_static_reference
DEMO_ZONE_01,298525,25.361088288856692,90.33780399707783,0.050001293420791626
DEMO_ZONE_02,309013,25.285915217630702,91.25631314408835,0.11999531835317612
DEMO_ZONE_03,431620,23.95427422371917,93.31192940775591,0.19999638199806213
DEMO_ZONE_04,546027,22.170663602793656,92.83408343694188,0.27999192476272583
DEMO_ZONE_05,319623,25.20803709628071,92.01321679207999,0.3599966764450073
DEMO_ZONE_06,338815,24.999557138264468,94.35438044587623,0.4399978220462799
DEMO_ZONE_07,304525,25.313748497957086,91.41904025735717,0.5199741125106812
DEMO_ZONE_08,220070,25.883540603861675,94.07349746646405,0.6199944615364075
DEMO_ZONE_09,489018,23.270143616897784,93.0951618472029,0.7199887037277222
DEMO_ZONE_10,331285,25.062771173554285,93.63055637215206,0.8200104832649231
DEMO_ZONE_11,284089,25.447074115407776,94.00266797645722,0.8999559283256531
DEMO_ZONE_12,251234,25.670614401465073,94.11660424752603,0.9597731232643127
